player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Joel Armia,MTL,0,0,1,0,0,0,0,,20212022
Tyler Lewington,BOS,0,0,0,0,0,0,1,,20212022
Kevin Hayes,PHI,0,0,0,0,6,6,1,50.0,20212022
Cam York,PHI,1,0,1,0,0,0,0,,20212022
Eric Robinson,CBJ,0,0,0,0,0,0,1,,20212022
Vladislav Gavrikov,CBJ,0,0,0,0,0,0,1,,20212022
Adam Boqvist,CBJ,2,1,1,0,0,0,0,,20212022
Brandon Duhaime,MIN,0,0,0,0,0,0,2,,20212022
Michael McCarron,NSH,0,0,0,0,0,0,2,,20212022
Eeli Tolvanen,NSH,0,0,0,1,0,0,0,,20212022
Brad Hunt,VAN,1,1,0,0,0,0,0,,20212022
Juho Lammikko,VAN,0,0,0,0,1,1,0,50.0,20212022
Lukas Reichel,CHI,0,0,0,0,0,1,0,0.0,20212022
Drake Batherson,OTT,0,0,1,0,0,1,0,0.0,20212022
Hampus Lindholm,ANA,1,0,1,1,0,0,0,,20212022
Pierre-Edouard Bellemare,TBL,0,0,0,0,1,1,0,50.0,20212022
Austin Poganski,WPG,0,0,0,0,0,0,1,,20212022
Derek Stepan,CAR,0,0,0,0,0,2,0,0.0,20212022
Mattias Janmark,VGK,0,0,1,0,0,0,0,,20212022
Oskar Steen,BOS,0,0,0,0,0,0,1,,20212022
Andrew Ladd,ARI,1,0,1,1,0,0,0,,20212022
Antoine Roussel,ARI,0,0,0,0,0,0,1,,20212022
Phil Kessel,ARI,0,1,0,0,0,0,0,,20212022
Riley Nash,ARI,0,0,0,0,1,0,0,100.0,20212022
Anders Bjork,BUF,0,0,0,0,0,0,1,,20212022
Brent Burns,SJS,3,0,2,0,0,0,0,,20212022
Steven Fogarty,BOS,0,0,0,0,0,1,0,0.0,20212022
John Klingberg,DAL,0,2,2,0,0,0,0,,20212022
Logan O'Connor,COL,0,0,0,0,0,0,1,,20212022
Riley Sheahan,SEA,0,0,0,0,0,2,0,0.0,20212022
Vince Dunn,SEA,0,1,0,1,0,0,1,,20212022
Nolan Patrick,VGK,0,0,0,0,2,2,0,50.0,20212022
Evgenii Dadonov,VGK,0,0,1,0,0,0,0,,20212022
Max Domi,CBJ,0,0,0,0,0,0,1,,20212022
Egor Chinakhov,CBJ,0,1,0,1,0,0,0,,20212022
Justin Danforth,CBJ,0,0,0,0,1,0,0,100.0,20212022
Sean Kuraly,CBJ,0,0,0,0,1,5,1,16.666666666666664,20212022
Trevor Moore,LAK,1,0,0,1,0,0,0,,20212022
Ryan Merkley,SJS,0,0,1,0,0,0,0,,20212022
Jeffrey Viel,SJS,0,0,0,0,0,0,4,,20212022
Evander Kane,EDM,0,0,1,1,0,1,0,0.0,20212022
Warren Foegele,EDM,0,0,0,0,1,0,0,100.0,20212022
Luke Glendening,DAL,0,0,0,0,0,1,0,0.0,20212022
Oliver Wahlstrom,NYI,0,0,0,0,0,0,1,,20212022
Filip Hronek,DET,0,0,0,1,0,0,0,,20212022
Jack Eichel,VGK,0,0,0,0,7,7,0,50.0,20212022
Shea Theodore,VGK,0,0,1,0,0,0,0,,20212022
Keegan Kolesar,VGK,0,1,0,0,0,0,0,,20212022
Mason Shaw,MIN,0,0,0,0,0,0,1,,20212022
Jared Spurgeon,MIN,0,0,0,0,0,0,1,,20212022
Alex Pietrangelo,VGK,0,1,1,0,0,0,0,,20212022
Jonathan Marchessault,VGK,0,0,1,0,0,0,0,,20212022
Reilly Smith,VGK,0,0,0,0,0,0,1,,20212022
Oliver Bjorkstrand,CBJ,0,1,0,3,0,0,1,,20212022
Andreas Athanasiou,LAK,0,0,1,0,3,0,0,100.0,20212022
Mark Giordano,SEA,0,1,0,1,0,0,0,,20212022
Scott Reedy,SJS,0,0,0,0,1,1,0,50.0,20212022
Sean Durzi,LAK,0,0,2,0,0,0,0,,20212022
Dylan Strome,CHI,0,0,1,0,16,5,0,76.19047619047619,20212022
Ryan Carpenter,CHI,0,0,0,0,1,0,0,100.0,20212022
Dylan Coghlan,VGK,0,0,0,1,0,0,0,,20212022
Ben Hutton,VGK,0,0,0,0,0,0,1,,20212022
Casey Fitzgerald,BUF,0,0,0,0,0,0,2,,20212022
Andre Burakovsky,COL,0,0,1,0,0,0,0,,20212022
William Nylander,TOR,1,0,2,0,0,0,0,,20212022
Michael Bunting,TOR,0,0,0,2,0,0,3,,20212022
Zach Parise,NYI,0,0,1,0,1,0,1,100.0,20212022
Ross Johnston,NYI,0,0,0,0,0,0,2,,20212022
Mike Matheson,PIT,0,0,0,2,0,0,0,,20212022
Kasperi Kapanen,PIT,0,1,0,0,1,0,0,100.0,20212022
Jonas Brodin,MIN,1,0,0,0,0,0,0,,20212022
Jon Merrill,MIN,0,0,0,0,0,0,1,,20212022
Nicholas Robertson,TOR,0,0,1,0,0,0,0,,20212022
David Kampf,TOR,0,0,0,0,1,1,0,50.0,20212022
Anthony Mantha,WSH,0,0,1,0,0,0,1,,20212022
Henri Jokiharju,BUF,1,0,3,2,0,0,0,,20212022
Adam Fox,NYR,0,1,3,0,0,0,0,,20212022
Artemi Panarin,NYR,1,0,2,0,0,0,0,,20212022
Ben Chiarot,MTL,0,0,0,0,0,0,1,,20212022
Michael Pezzetta,MTL,0,0,0,0,0,0,1,,20212022
Tanner Jeannot,NSH,0,0,1,0,0,0,1,,20212022
Andrej Sustr,ANA,0,0,0,0,0,0,1,,20212022
Mark Borowiecki,NSH,0,0,0,0,0,0,1,,20212022
Brandon Carlo,BOS,0,0,0,0,0,0,1,,20212022
Vladislav Namestnikov,DAL,0,0,1,0,0,0,1,,20212022
Garnet Hathaway,WSH,0,0,0,0,0,0,1,,20212022
Matt Martin,NYI,0,0,0,0,0,0,2,,20212022
Nick Leddy,STL,1,0,0,0,0,0,0,,20212022
Brayden Schenn,STL,0,0,1,1,0,0,0,,20212022
Alexey Toropchenko,STL,0,0,0,0,0,0,1,,20212022
Jordan Kyrou,STL,0,0,0,0,0,1,1,0.0,20212022
Marcus Johansson,WSH,0,0,0,1,0,1,0,0.0,20212022
Max Domi,CAR,0,0,1,0,5,2,2,71.42857142857143,20212022
Mason Geertsen,NJD,0,0,0,0,0,0,1,,20212022
Jesper Boqvist,NJD,0,0,0,0,0,3,0,0.0,20212022
Corey Schueneman,MTL,0,1,0,0,0,0,0,,20212022
Dominik Simon,ANA,0,0,0,0,0,0,2,,20212022
Michael Carcone,ARI,0,0,0,0,0,0,1,,20212022
Nick Ritchie,ARI,0,0,0,1,0,0,0,,20212022
Gerry Mayhew,ANA,1,0,0,0,0,1,0,0.0,20212022
Joshua Mahura,ANA,0,0,0,0,0,0,2,,20212022
Hampus Lindholm,BOS,0,0,1,0,0,0,1,,20212022
Andrew Peeke,CBJ,0,0,0,0,0,0,1,,20212022
Oskar Sundqvist,DET,0,0,0,0,0,1,0,0.0,20212022
Mattias Samuelsson,BUF,0,0,1,0,0,0,0,,20212022
Claude Giroux,FLA,0,0,0,0,3,2,0,60.0,20212022
Sergei Bobrovsky,FLA,0,0,1,0,0,0,0,,20212022
Nate Thompson,PHI,0,0,0,0,0,2,0,0.0,20212022
Travis Sanheim,PHI,2,0,0,0,0,0,0,,20212022
Mikhail Sergachev,TBL,0,0,1,0,0,0,0,,20212022
Marc McLaughlin,BOS,0,0,1,0,0,0,0,,20212022
Ilya Mikheyev,TOR,0,1,1,2,0,0,0,,20212022
Kaapo Kakko,NYR,0,0,1,0,0,0,0,,20212022
Andrew Copp,NYR,0,0,0,0,2,2,0,50.0,20212022
Ryan Reaves,NYR,0,0,0,0,0,1,0,0.0,20212022
Brady Skjei,CAR,0,1,0,0,0,0,0,,20212022
Colin White,OTT,0,0,0,0,2,0,0,100.0,20212022
Michael Del Zotto,OTT,0,0,1,0,0,0,0,,20212022
Torey Krug,STL,1,0,0,0,0,0,0,,20212022
Jake Guentzel,PIT,0,0,1,0,0,0,0,,20212022
Bobby Brink,PHI,0,0,0,1,0,0,0,,20212022
Oskar Lindblom,PHI,0,0,0,1,0,0,0,,20212022
Nate Smith,ARI,0,0,0,0,0,1,0,0.0,20212022
J.J. Moser,ARI,0,0,1,0,0,0,0,,20212022
Matt Roy,LAK,0,0,0,0,0,0,1,,20212022
Blake Wheeler,WPG,0,0,1,0,0,0,0,,20212022
K'Andre Miller,NYR,0,0,0,1,0,0,0,,20212022
Dryden Hunt,NYR,0,0,0,1,0,0,0,,20212022
Kevin Rooney,NYR,0,0,0,1,0,0,0,,20212022
Nikita Okhotiuk,NJD,0,0,0,0,0,0,1,,20212022
Frank Vatrano,NYR,0,0,1,0,0,0,0,,20212022
Nick Abruzzese,TOR,0,0,1,0,0,0,0,,20212022
Alexander Kerfoot,TOR,0,0,0,0,1,0,0,100.0,20212022
Danton Heinen,PIT,0,0,1,0,0,0,0,,20212022
Ryan Suter,DAL,0,1,0,0,0,0,0,,20212022
Vincent Trocheck,NYR,0,0,2,0,19,21,0,47.5,20222023
Chris Kreider,NYR,0,0,1,0,1,0,1,100.0,20222023
Mika Zibanejad,NYR,0,2,2,2,10,11,0,47.61904761904761,20222023
Sebastian Aho,CAR,0,3,15,7,121,70,2,63.35078534031413,20222023
Jack Drury,CAR,0,1,1,0,5,4,1,55.55555555555556,20222023
Jesperi Kotkaniemi,CAR,0,0,8,2,27,29,3,48.214285714285715,20222023
Igor Shesterkin,NYR,0,0,1,0,0,0,0,,20222023
Jeff Skinner,BUF,0,1,7,0,38,40,5,48.717948717948715,20222023
Cody Glass,NSH,0,1,1,0,5,7,0,41.66666666666667,20222023
Alex Tuch,BUF,1,3,3,1,4,6,2,40.0,20222023
Tage Thompson,BUF,0,2,9,4,13,13,1,50.0,20222023
Tommy Novak,NSH,0,0,0,0,1,1,0,50.0,20222023
Dylan Cozens,BUF,1,0,5,1,92,94,5,49.46236559139785,20222023
Matt Duchene,NSH,0,0,0,1,4,1,0,80.0,20222023
Casey Mittelstadt,BUF,0,1,11,1,67,68,4,49.629629629629626,20222023
Brady Tkachuk,OTT,0,0,3,1,28,28,1,50.0,20222023
Claude Giroux,OTT,0,0,1,0,13,11,1,54.166666666666664,20222023
Patrice Bergeron,BOS,3,2,3,3,219,133,4,62.21590909090909,20222023
David Krejci,BOS,2,1,5,1,29,25,2,53.70370370370371,20222023
David Pastrnak,BOS,5,4,23,3,1,0,4,100.0,20222023
Alex DeBrincat,OTT,0,2,3,0,0,0,0,,20222023
Tim Stützle,OTT,0,1,3,1,1,0,0,100.0,20222023
Derick Brassard,OTT,0,0,0,0,3,3,0,50.0,20222023
Tyler Bertuzzi,BOS,0,2,1,4,1,3,0,25.0,20222023
Pavel Zacha,BOS,0,2,4,4,18,13,0,58.06451612903226,20222023
Jake Sanderson,OTT,2,1,4,0,0,0,0,,20222023
Mikael Backlund,CGY,0,0,0,0,7,9,0,43.75,20222023
Mason McTavish,ANA,1,1,7,0,17,25,4,40.476190476190474,20222023
Cam Fowler,ANA,4,4,8,0,0,0,1,,20222023
Derek Grant,ANA,0,0,1,0,32,17,2,65.3061224489796,20222023
Elias Lindholm,CGY,0,0,0,1,12,11,0,52.17391304347826,20222023
Nazem Kadri,CGY,0,0,4,1,12,4,0,75.0,20222023
Rem Pitlick,MTL,0,1,1,1,0,0,2,,20222023
Nick Suzuki,MTL,0,0,1,1,23,23,0,50.0,20222023
Kirby Dach,MTL,0,0,1,1,0,0,0,,20222023
Mike Matheson,MTL,1,1,1,2,0,0,2,,20222023
Jake Evans,MTL,0,0,0,0,1,0,1,100.0,20222023
Brad Marchand,BOS,0,2,25,2,10,6,5,62.5,20222023
Jonathan Drouin,MTL,0,1,0,0,1,2,0,33.33333333333333,20222023
Hampus Lindholm,BOS,2,0,6,4,0,0,2,,20222023
Rafael Harvey-Pinard,MTL,0,1,0,0,0,0,0,,20222023
Teuvo Teravainen,CAR,1,2,6,0,4,5,1,44.44444444444444,20222023
Brent Burns,CAR,10,7,9,0,0,0,4,,20222023
Adam Fox,NYR,0,3,1,0,0,0,0,,20222023
Filip Chytil,NYR,1,0,0,0,0,5,0,0.0,20222023
Vladimir Tarasenko,NYR,0,1,1,0,0,0,0,,20222023
Martin Necas,CAR,1,2,18,2,27,30,3,47.368421052631575,20222023
Jordan Staal,CAR,0,0,0,4,41,26,0,61.19402985074627,20222023
Pierre-Luc Dubois,WPG,0,0,0,0,9,2,0,81.81818181818183,20222023
Ryan Strome,ANA,0,1,1,1,46,50,4,47.91666666666667,20222023
Mark Scheifele,WPG,1,0,1,0,11,16,0,40.74074074074074,20222023
Neal Pionk,WPG,0,0,0,4,0,0,0,,20222023
Frank Vatrano,ANA,1,3,4,0,0,2,2,0.0,20222023
Nico Hischier,NJD,1,0,1,2,20,23,0,46.51162790697674,20222023
Timo Meier,NJD,0,0,1,0,0,0,1,,20222023
Jesper Bratt,NJD,1,0,1,1,0,0,0,,20222023
Dougie Hamilton,NJD,1,0,2,1,0,0,1,,20222023
Victor Olofsson,BUF,2,1,4,1,0,0,1,,20222023
Michael McLeod,NJD,0,0,1,0,3,3,0,50.0,20222023
Jakub Lauko,BOS,0,0,0,0,0,0,2,,20222023
Dmitry Orlov,BOS,0,1,3,1,0,0,2,,20222023
Jake DeBrusk,BOS,0,1,6,3,0,1,3,0.0,20222023
Charlie McAvoy,BOS,2,2,6,3,0,0,3,,20222023
Brayden Point,TBL,0,2,2,0,4,5,0,44.44444444444444,20222023
Anthony Cirelli,TBL,0,0,0,0,6,4,0,60.0,20222023
Alex Killorn,TBL,0,0,2,0,0,0,1,,20222023
Mikhail Sergachev,TBL,2,1,1,1,0,0,1,,20222023
Nick Paul,TBL,0,0,0,1,9,7,0,56.25,20222023
Steven Stamkos,TBL,0,0,6,0,19,17,1,52.77777777777778,20222023
Kyle Okposo,BUF,0,1,3,0,13,15,3,46.42857142857143,20222023
Jack Quinn,BUF,0,0,6,4,1,3,2,25.0,20222023
Bo Horvat,NYI,0,0,0,0,9,5,0,64.28571428571429,20222023
Semyon Varlamov,NYI,0,0,1,0,0,0,0,,20222023
Samuel Bolduc,NYI,0,0,0,1,0,0,0,,20222023
Rasmus Dahlin,BUF,5,1,8,6,0,0,10,,20222023
Kyle Palmieri,NYI,0,0,0,2,0,0,1,,20222023
John Tavares,TOR,0,0,1,0,24,13,0,64.86486486486487,20222023
Auston Matthews,TOR,0,1,2,0,1,1,0,50.0,20222023
Mitch Marner,TOR,0,0,2,1,0,0,0,,20222023
Maxime Comtois,ANA,1,0,2,1,0,6,6,0.0,20222023
Brayden Schenn,STL,0,1,0,0,12,7,0,63.1578947368421,20222023
Jordan Kyrou,STL,0,0,0,0,0,0,1,,20222023
Max Jones,ANA,0,0,0,1,0,0,10,,20222023
Pavel Buchnevich,STL,0,0,1,0,0,0,0,,20222023
Jakub Vrana,STL,0,0,0,0,0,1,0,0.0,20222023
Robert Thomas,STL,0,0,2,0,6,11,0,35.294117647058826,20222023
Jake Neighbours,STL,0,0,0,1,0,2,0,0.0,20222023
Shayne Gostisbehere,CAR,1,1,0,0,0,0,0,,20222023
Derek Stepan,CAR,0,0,0,0,0,3,0,0.0,20222023
Zemgus Girgensons,BUF,0,0,0,0,2,2,0,50.0,20222023
Henri Jokiharju,BUF,0,0,0,2,0,0,0,,20222023
Tyson Jost,BUF,0,0,0,0,0,3,2,0.0,20222023
Chris Tierney,MTL,0,0,0,0,2,0,0,100.0,20222023
Nathan MacKinnon,COL,0,0,1,1,3,8,1,27.27272727272727,20222023
Trevor Zegras,ANA,0,1,15,10,6,6,7,50.0,20222023
Alex Newhook,COL,0,0,0,0,5,3,0,62.5,20222023
Isac Lundeström,ANA,0,0,0,0,4,3,0,57.14285714285714,20222023
J.T. Compher,COL,1,0,0,1,23,12,0,65.71428571428571,20222023
Philip Tomasino,NSH,1,0,1,0,1,0,0,100.0,20222023
Colton Sissons,NSH,0,0,1,0,1,2,0,33.33333333333333,20222023
Tyson Barrie,NSH,2,0,0,0,0,0,0,,20222023
Dante Fabbro,NSH,0,0,1,0,0,0,1,,20222023
Paul Stastny,CAR,0,0,1,0,39,26,0,60.0,20222023
Boone Jenner,CBJ,0,0,0,0,15,11,1,57.692307692307686,20222023
Lane Pederson,CBJ,0,0,0,1,1,1,1,50.0,20222023
Hunter McKown,CBJ,0,0,1,0,0,1,0,0.0,20222023
Kent Johnson,CBJ,0,0,1,1,2,0,0,100.0,20222023
Trent Frederic,BOS,0,0,0,0,0,0,5,,20222023
Tomas Nosek,BOS,0,0,0,0,4,0,3,100.0,20222023
Dylan Larkin,DET,0,0,5,2,30,12,3,71.42857142857143,20222023
Andrew Copp,DET,0,1,2,0,11,8,0,57.89473684210527,20222023
Alexander Wennberg,SEA,0,0,1,0,6,12,0,33.33333333333333,20222023
JJ Peterka,BUF,1,0,3,0,0,0,2,,20222023
Barclay Goodrow,NYR,0,0,0,0,3,0,1,100.0,20222023
Charlie Coyle,BOS,0,1,2,1,26,13,4,66.66666666666666,20222023
Sidney Crosby,PIT,1,0,1,0,40,34,0,54.054054054054056,20222023
Rickard Rakell,PIT,0,0,0,4,1,0,2,100.0,20222023
Jake Guentzel,PIT,0,1,2,1,0,0,2,,20222023
Jason Zucker,PIT,0,0,1,1,1,0,1,100.0,20222023
Jeff Carter,PIT,0,0,0,0,4,0,0,100.0,20222023
Evgeni Malkin,PIT,0,0,3,0,1,1,0,50.0,20222023
Bryan Rust,PIT,1,2,1,0,0,0,0,,20222023
Kris Letang,PIT,2,0,1,1,0,0,0,,20222023
Noah Cates,PHI,0,1,0,2,7,14,0,33.33333333333333,20222023
Morgan Frost,PHI,1,0,1,0,9,13,0,40.909090909090914,20222023
Travis Konecny,PHI,0,0,1,0,0,0,1,,20222023
Kevin Hayes,PHI,0,0,2,1,3,6,0,33.33333333333333,20222023
Peyton Krebs,BUF,0,0,4,1,10,10,4,50.0,20222023
Denis Gurianov,MTL,0,0,1,0,0,0,0,,20222023
Brady Skjei,CAR,2,2,2,2,0,0,0,,20222023
Evander Kane,EDM,0,0,1,1,0,0,2,,20222023
Leon Draisaitl,EDM,0,1,3,0,24,13,0,64.86486486486487,20222023
Mattias Ekholm,EDM,0,1,0,0,0,0,0,,20222023
Mattias Janmark,EDM,0,0,0,0,0,1,0,0.0,20222023
Matt Grzelcyk,BOS,0,0,3,1,0,0,0,,20222023
Logan Brown,STL,0,0,0,0,0,2,0,0.0,20222023
Connor Clifton,BOS,1,0,0,0,0,0,5,,20222023
Kasperi Kapanen,STL,0,0,0,1,0,0,0,,20222023
Brock Nelson,NYI,0,0,2,0,6,5,1,54.54545454545454,20222023
Seth Jarvis,CAR,1,2,3,4,0,1,3,0.0,20222023
Jean-Gabriel Pageau,NYI,0,1,2,0,16,11,0,59.25925925925925,20222023
Trevor Lewis,CGY,0,0,0,0,1,1,0,50.0,20222023
Aleksander Barkov,FLA,0,2,5,0,30,21,0,58.82352941176471,20222023
Aaron Ekblad,FLA,0,1,6,3,0,0,0,,20222023
Brandon Montour,FLA,3,1,1,1,0,0,3,,20222023
Sam Reinhart,FLA,1,0,3,0,14,9,1,60.86956521739131,20222023
Anton Lundell,FLA,0,0,0,1,6,4,1,60.0,20222023
Stefan Noesen,CAR,0,0,6,6,24,24,6,50.0,20222023
Connor McDavid,EDM,1,0,2,0,2,2,0,50.0,20222023
Adam Henrique,ANA,0,1,3,2,117,83,1,58.5,20222023
Sam Lafferty,TOR,0,0,0,0,0,0,1,,20222023
Morgan Rielly,TOR,2,0,1,0,0,0,0,,20222023
Moritz Seider,DET,1,1,0,3,0,0,1,,20222023
Jonatan Berggren,DET,1,0,1,0,0,0,0,,20222023
Jesper Fast,CAR,0,0,0,0,0,2,0,0.0,20222023
Barrett Hayton,ARI,0,2,1,1,11,3,0,78.57142857142857,20222023
Matias Maccelli,ARI,0,0,1,0,0,0,0,,20222023
Lawson Crouse,ARI,0,0,0,2,0,0,0,,20222023
Travis Boyd,ARI,0,0,2,0,10,12,0,45.45454545454545,20222023
Patrik Nemeth,ARI,0,0,0,0,0,0,1,,20222023
J.J. Moser,ARI,3,0,0,0,0,0,0,,20222023
Jack Hughes,NJD,0,0,4,0,1,0,0,100.0,20222023
Tomas Tatar,NJD,0,1,1,1,1,1,0,50.0,20222023
Damon Severson,NJD,1,0,1,0,0,0,0,,20222023
Dawson Mercer,NJD,0,1,0,0,0,2,0,0.0,20222023
Miles Wood,NJD,0,0,1,1,0,0,1,,20222023
Joel Farabee,PHI,2,0,0,0,0,1,0,0.0,20222023
Rasmus Ristolainen,PHI,1,1,1,0,0,0,0,,20222023
Cam York,PHI,0,0,1,0,0,0,0,,20222023
Connor Carrick,BOS,0,0,0,1,0,0,0,,20222023
A.J. Greer,BOS,0,0,0,0,0,0,6,,20222023
Jakob Silfverberg,ANA,0,2,1,0,3,7,1,30.0,20222023
Devon Toews,COL,2,0,1,0,0,0,0,,20222023
Lars Eller,COL,0,0,0,0,1,0,0,100.0,20222023
Mikko Rantanen,COL,0,1,0,0,6,5,0,54.54545454545454,20222023
Valeri Nichushkin,COL,0,1,1,0,0,0,0,,20222023
Alexis Lafrenière,NYR,0,0,1,0,0,0,0,,20222023
Mads Sogaard,OTT,0,0,1,0,0,0,0,,20222023
Erik Brannstrom,OTT,0,0,1,0,0,0,0,,20222023
Ondrej Palat,NJD,0,0,1,0,0,1,0,0.0,20222023
Jesper Boqvist,NJD,0,0,0,0,0,1,0,0.0,20222023
Dylan Strome,WSH,3,0,1,0,8,7,0,53.333333333333336,20222023
Nicklas Backstrom,WSH,0,0,2,0,3,10,0,23.076923076923077,20222023
Evgeny Kuznetsov,WSH,0,0,5,1,3,4,0,42.857142857142854,20222023
J.T. Miller,VAN,0,1,1,0,12,4,0,75.0,20222023
Brock Boeser,VAN,0,0,0,1,0,1,0,0.0,20222023
Elias Pettersson,VAN,1,1,3,0,3,1,0,75.0,20222023
Sheldon Dries,VAN,0,0,0,0,2,3,0,40.0,20222023
Anthony Beauvillier,VAN,0,0,0,0,0,1,0,0.0,20222023
Kevin Shattenkirk,ANA,4,1,2,1,0,0,2,,20222023
Matthew Tkachuk,FLA,0,0,2,0,0,2,7,0.0,20222023
Anze Kopitar,LAK,0,0,1,0,27,14,0,65.85365853658537,20222023
Phillip Danault,LAK,0,0,0,0,14,5,1,73.68421052631578,20222023
Quinton Byfield,LAK,0,0,0,1,1,1,0,50.0,20222023
Trevor Moore,LAK,0,1,0,0,0,1,1,0.0,20222023
T.J. Oshie,WSH,0,2,0,1,12,12,0,50.0,20222023
Marcus Johansson,WSH,0,0,1,2,1,0,0,100.0,20222023
John Carlson,WSH,0,0,1,0,0,0,0,,20222023
Alex Ovechkin,WSH,0,2,0,1,0,0,2,,20222023
Connor Brown,WSH,0,0,0,1,1,1,0,50.0,20222023
Justin Danforth,CBJ,0,0,0,0,0,2,0,0.0,20222023
Jack Roslovic,CBJ,0,0,1,0,9,18,0,33.33333333333333,20222023
Jared McCann,SEA,0,0,1,0,0,7,0,0.0,20222023
Matty Beniers,SEA,0,0,1,0,2,6,0,25.0,20222023
Thomas Chabot,OTT,3,1,0,1,0,0,0,,20222023
Josh Norris,OTT,0,0,0,0,1,1,0,50.0,20222023
Logan Couture,SJS,1,0,1,0,11,7,0,61.111111111111114,20222023
Nico Sturm,SJS,0,0,0,1,1,3,0,25.0,20222023
Luke Kunin,SJS,0,1,0,0,0,1,1,0.0,20222023
Tomas Hertl,SJS,0,0,0,0,9,19,0,32.142857142857146,20222023
Nick Bonino,SJS,0,0,0,0,9,0,0,100.0,20222023
Andrei Svechnikov,CAR,0,1,11,5,0,0,5,,20222023
Jalen Chatfield,CAR,0,0,0,0,0,0,1,,20222023
Timo Meier,SJS,1,0,3,0,0,0,3,,20222023
Gustav Forsling,FLA,1,1,0,0,0,0,1,,20222023
Sam Bennett,FLA,0,0,0,2,7,7,0,50.0,20222023
Ryan Lomberg,FLA,0,0,0,1,0,0,2,,20222023
Liam O'Brien,ARI,0,0,0,0,0,0,1,,20222023
Nick Foligno,BOS,0,1,3,1,14,7,5,66.66666666666666,20222023
Zach Parise,NYI,0,0,1,1,0,1,0,0.0,20222023
Pavol Regenda,ANA,0,0,1,0,0,1,0,0.0,20222023
Mathew Barzal,NYI,0,1,2,0,0,0,1,,20222023
John Klingberg,ANA,0,1,3,0,0,0,1,,20222023
Artemi Panarin,NYR,0,0,1,2,0,0,1,,20222023
Colin White,FLA,0,0,0,0,0,1,0,0.0,20222023
Jordan Eberle,SEA,0,0,1,1,3,2,0,60.0,20222023
Dylan Coghlan,CAR,1,0,0,1,0,0,0,,20222023
Jaden Schwartz,SEA,0,0,1,0,4,5,0,44.44444444444444,20222023
Erik Haula,NJD,0,0,0,0,2,2,0,50.0,20222023
Troy Terry,ANA,0,2,3,3,0,0,2,,20222023
Tyler Motte,OTT,0,0,0,1,0,0,0,,20222023
Travis Hamonic,OTT,0,0,0,0,0,0,1,,20222023
Ilya Lyubushkin,BUF,0,0,0,0,0,0,1,,20222023
Rasmus Asplund,BUF,0,0,0,0,2,0,0,100.0,20222023
Rasmus Andersson,CGY,0,0,1,1,0,0,1,,20222023
Tyson Barrie,EDM,0,4,0,0,0,0,0,,20222023
Ryan McLeod,EDM,0,0,0,0,2,1,0,66.66666666666666,20222023
Jaccob Slavin,CAR,3,1,0,0,0,0,1,,20222023
Joel Eriksson Ek,MIN,0,2,1,0,22,27,0,44.89795918367347,20222023
Ryan Hartman,MIN,0,0,0,0,2,5,0,28.57142857142857,20222023
Matt Boldy,MIN,1,1,0,0,1,1,0,50.0,20222023
Bo Horvat,VAN,0,0,0,0,16,8,0,66.66666666666666,20222023
Tanner Pearson,VAN,0,0,0,1,1,1,0,50.0,20222023
Curtis Lazar,VAN,0,0,0,1,1,0,0,100.0,20222023
Andrei Kuzmenko,VAN,0,0,1,0,0,0,0,,20222023
Oliver Ekman-Larsson,VAN,1,0,0,0,0,0,0,,20222023
Noah Hanifin,CGY,1,1,0,0,0,0,1,,20222023
Dillon Dube,CGY,0,0,1,0,1,0,0,100.0,20222023
Adam Erne,DET,0,0,0,0,0,0,1,,20222023
Oskar Sundqvist,DET,0,0,1,0,1,1,1,50.0,20222023
Lucas Raymond,DET,0,0,0,0,0,1,1,0.0,20222023
Taylor Hall,BOS,0,0,5,4,1,1,1,50.0,20222023
Jamie Benn,DAL,0,1,2,0,15,10,0,60.0,20222023
Wyatt Johnston,DAL,0,0,2,0,1,0,0,100.0,20222023
Colin Miller,DAL,0,0,0,0,0,0,1,,20222023
Joe Pavelski,DAL,0,1,0,0,7,5,0,58.333333333333336,20222023
Mason Marchment,DAL,0,0,1,2,0,1,1,0.0,20222023
Tyler Seguin,DAL,0,0,2,0,6,2,0,75.0,20222023
Ross Colton,TBL,0,0,0,0,4,1,0,80.0,20222023
Filip Hronek,DET,0,0,1,0,0,0,0,,20222023
David Perron,DET,0,2,1,1,0,2,0,0.0,20222023
Dominik Kubalik,DET,0,0,0,1,1,0,1,100.0,20222023
Sean Monahan,MTL,0,1,0,0,6,3,0,66.66666666666666,20222023
Owen Power,BUF,3,1,5,2,0,0,1,,20222023
Chandler Stephenson,VGK,0,0,1,0,12,11,0,52.17391304347826,20222023
Nicolas Roy,VGK,0,0,0,0,5,4,1,55.55555555555556,20222023
Scott Laughton,PHI,0,0,0,0,13,13,0,50.0,20222023
Owen Tippett,PHI,0,1,2,1,1,0,0,100.0,20222023
Jonathan Toews,CHI,0,0,2,0,21,3,1,87.5,20222023
Taylor Raddysh,CHI,0,1,2,0,0,0,1,,20222023
Arvid Soderblom,CHI,0,0,1,0,0,0,0,,20222023
Seth Jones,CHI,1,0,0,0,0,0,0,,20222023
Caleb Jones,CHI,1,0,1,0,0,0,0,,20222023
